0,1920
0,1.23
1,10.15
2,10.17
3,7.33
4,4.53
5,3.91
6,3.56
7,3.14
8,2.61
9,2.39
10,2.22
11,2.11
12,2.04
13,1.99
14,1.98
15,1.97
16,1.97
17,1.98
18,1.99
19,2.01
20,2.04
21,2.06
22,2.08
23,2.10
24,2.12
25,2.14
26,2.16
27,2.19
28,2.21
29,2.23
30,2.25
31,2.27
32,2.30
33,2.32
34,2.35
35,2.37
36,2.40
37,2.43
38,2.46
39,2.49
40,2.53
41,2.57
42,2.62
43,2.65
44,2.69
45,2.75
46,2.94
47,3.11
48,3.19
49,3.25
50,3.32
51,3.39
52,3.48
53,3.55
54,3.59
55,3.59
56,3.57
57,3.55
58,3.58
59,3.65
60,3.77
61,3.90
62,4.04
63,4.19
64,4.32
65,4.37
66,4.36
67,4.33
68,4.33
69,4.44
70,4.64
71,4.77
72,4.99
73,5.18
74,5.32
75,5.75
76,6.53
77,7.01
78,7.32
79,7.62
80,7.74
81,7.84
82,7.98
83,655.35
84,655.35
85,655.35
86,14.65
87,14.92
88,15.13
89,15.27
90,15.34
91,15.42
92,15.47
93,15.51
94,15.54
95,15.55
96,15.58
97,15.58
98,15.59
99,15.59
100,15.57
101,15.39
102,15.15
103,14.85
104,12.56
105,9.43
106,7.87
107,6.92
108,6.11
109,5.45
110,5.00
111,4.61
112,4.33
113,4.07
114,3.89
115,3.67
116,3.48
117,3.31
118,3.21
119,3.18
120,3.18
121,3.15
122,3.14
123,3.17
124,3.18
125,3.16
126,3.05
127,2.96
128,2.91
129,2.80
130,2.45
131,2.22
132,2.13
133,2.05
134,2.00
135,1.96
136,1.92
137,1.88
138,1.85
139,1.83
140,1.80
141,1.78
142,1.75
143,1.73
144,1.70
145,1.67
146,1.65
147,1.63
148,1.59
149,1.56
150,1.54
151,1.52
152,1.51
153,1.50
154,1.48
155,1.47
156,1.45
157,1.44
158,1.42
159,1.41
160,1.39
161,1.38
162,1.38
163,1.37
164,1.36
165,1.35
166,1.34
167,1.33
168,1.32
169,1.31
170,1.30
171,1.29
172,1.28
173,1.28
174,1.27
175,1.26
176,1.25
177,1.25
178,1.24
179,1.24
180,1.23
