0,2400
0,1.22
1,10.61
2,10.59
3,7.89
4,5.07
5,3.97
6,3.35
7,2.98
8,2.87
9,2.64
10,2.31
11,2.11
12,2.03
13,1.99
14,1.97
15,1.97
16,1.97
17,1.97
18,1.98
19,2.00
20,2.03
21,2.05
22,2.07
23,2.09
24,2.12
25,2.14
26,2.16
27,2.18
28,2.21
29,2.34
30,2.47
31,2.52
32,2.56
33,2.59
34,2.62
35,2.65
36,2.68
37,2.73
38,2.77
39,2.83
40,2.88
41,2.93
42,2.96
43,2.97
44,2.94
45,2.91
46,2.91
47,2.95
48,3.01
49,3.04
50,3.04
51,3.04
52,3.09
53,3.19
54,3.31
55,3.41
56,3.46
57,3.48
58,3.52
59,3.55
60,3.67
61,3.84
62,4.03
63,4.14
64,4.24
65,4.37
66,4.53
67,4.68
68,4.86
69,5.08
70,5.53
71,6.17
72,6.70
73,7.00
74,7.15
75,7.31
76,7.49
77,7.64
78,7.70
79,7.70
80,7.83
81,8.72
82,9.84
83,10.53
84,10.76
85,10.82
86,10.83
87,10.82
88,10.82
89,10.85
90,10.88
91,10.89
92,10.88
93,10.88
94,10.89
95,10.88
96,10.88
97,10.90
98,10.92
99,10.94
100,10.94
101,10.75
102,10.49
103,10.14
104,9.36
105,8.30
106,7.26
107,6.74
108,6.35
109,5.77
110,5.08
111,4.64
112,4.32
113,4.07
114,3.86
115,3.69
116,3.53
117,3.39
118,3.26
119,3.15
120,3.06
121,3.03
122,3.01
123,3.01
124,2.96
125,2.87
126,2.76
127,2.66
128,2.53
129,2.47
130,2.50
131,2.52
132,2.50
133,2.44
134,2.38
135,2.32
136,2.27
137,2.20
138,2.16
139,2.11
140,2.07
141,1.96
142,1.73
143,1.65
144,1.62
145,1.59
146,1.57
147,1.54
148,1.53
149,1.51
150,1.50
151,1.49
152,1.47
153,1.45
154,1.43
155,1.42
156,1.41
157,1.40
158,1.39
159,1.38
160,1.37
161,1.36
162,1.35
163,1.34
164,1.34
165,1.32
166,1.32
167,1.31
168,1.30
169,1.29
170,1.28
171,1.27
172,1.27
173,1.26
174,1.25
175,1.25
176,1.24
177,1.24
178,1.23
179,1.23
180,1.22
